number,count,count2,count3
1,1036,282,1086
2,549,128,130
3,1830,33,373
4,1309,574,812
5,184,197,982
6,769,703,529
7,1719,393,1094
8,419,763,25
9,1889,625,1309
10,1652,547,452
11,209,171,748
12,1521,638,384
13,77,431,1127
14,453,544,752
15,550,183,1411
16,1529,632,851
17,605,541,1234
18,1652,508,1123
19,1045,379,664
20,518,134,1123
21,1079,450,1420
22,374,362,1068
23,1915,328,933
24,80,44,891
25,835,49,1250
26,1546,438,1375
27,1888,583,439
28,39,547,47
29,1561,578,861
30,1559,153,455
31,21,768,999
32,586,429,1351
33,214,676,953
34,120,391,1429
35,1095,782,1248
36,1901,713,941
37,1968,261,1099
38,1437,529,733
39,654,422,479
40,401,325,1391
41,168,269,257
42,749,409,917
43,1723,93,818
44,223,786,1005
45,1624,744,917
46,937,81,967
47,807,291,683
48,107,457,1071
49,1841,584,1480
50,197,541,1301
51,328,666,1172
52,1179,403,907
53,1326,490,1336
54,40,375,970
55,1430,504,1274
56,657,388,328
57,1622,764,1122
58,505,141,186
59,317,516,1000
60,874,655,1176
61,880,382,1210
62,91,182,586
63,1781,352,1142
64,1932,382,140
65,184,713,1272
66,1038,500,1373
67,1475,208,491
68,1065,735,1283
69,59,300,191
70,474,348,1334
71,1755,425,427
72,1348,782,374
73,263,761,362
74,77,201,1329
75,1244,247,1477
76,678,310,792
77,1494,694,1264
78,1145,554,1318
79,849,516,927
80,1619,136,449
81,1475,259,1370
82,1382,412,890
83,1513,136,1412
84,1151,762,1455
85,1044,796,125
86,1947,150,1179
87,1316,338,1215
88,386,596,461
89,1224,410,557
90,1903,38,894
91,896,195,1344
92,494,693,654
93,988,596,939
94,1026,352,160
95,1460,750,91
96,184,328,1398
97,535,529,556
98,535,437,678
99,1564,436,1028
100,1898,136,210
101,656,592,915
102,1090,186,818
103,291,165,846
104,1214,449,364
105,1299,48,1372
106,1705,191,252
107,1493,29,773
108,657,632,498
109,982,616,364
110,299,577,1370
111,510,553,48
112,260,487,124
113,1684,569,131
114,1680,705,1408
115,1500,771,622
116,913,671,173
117,1180,514,1427
118,340,633,23
119,1442,63,300
120,360,742,1025
121,1748,722,596
122,1297,409,1228
123,1551,84,434
124,414,191,728
125,264,343,1225
126,1405,541,351
127,390,628,136
128,767,88,535
129,173,174,364
130,1148,290,1039
131,736,159,801
132,881,365,1013
133,814,223,1484
134,820,71,386
135,1313,501,1010
136,1988,332,441
137,1939,604,897
138,1654,626,31
139,624,751,299
140,84,452,465
141,1511,66,803
142,1998,794,114
143,1490,495,1129
144,932,383,327
145,1274,548,407
146,305,497,898
147,85,563,1033
148,1455,587,989
149,258,30,329
150,800,20,589
151,1414,727,1169
152,71,340,1254
153,386,102,1302
154,181,415,278
155,217,251,1369
156,1044,514,1402
157,1473,730,757
158,5,467,989
159,1883,315,574
160,290,488,1405
161,1958,302,782
162,435,310,512
163,687,523,835
164,1600,539,383
165,283,152,409
166,522,124,1116
167,941,333,1060
168,164,361,694
169,1385,521,1220
170,1739,728,1495
171,1062,574,978
172,1922,567,570
173,1045,491,1377
174,33,660,974
175,427,638,266
176,1795,464,1266
177,410,792,318
178,1526,416,918
179,276,313,485
180,298,518,996
181,1604,8,686
182,1203,319,988
183,1962,262,285
184,915,102,1037
185,104,634,798
186,134,16,911
187,161,102,893
188,450,503,745
189,202,578,969
190,1747,367,635
191,370,257,291
192,1570,33,1281
193,340,654,1391
194,849,679,571
195,1868,703,1197
196,1705,9,182
197,557,352,371
198,1081,89,815
199,812,202,1398
200,442,557,973
201,430,264,225
202,72,218,364
203,1093,638,50
204,1706,37,462
205,1011,216,466
206,395,375,1253
207,787,244,750
208,1433,168,1360
209,1587,159,427
210,1368,598,800
211,1784,761,740
212,1214,340,718
213,226,638,426
214,1610,214,1012
215,1236,241,915
216,1512,727,885
217,700,102,683
218,1027,154,845
219,1958,80,577
220,179,663,470
221,1882,398,1102
222,1104,263,872
223,1770,447,1281
224,1448,522,1124
225,437,104,1187
226,1951,673,765
227,1293,603,422
228,1631,689,1194
229,1347,378,212
230,43,491,582
231,711,761,716
232,115,300,982
233,816,112,1239
234,444,569,1310
235,1139,101,491
236,1622,633,196
237,1634,438,926
238,1516,542,1402
239,198,535,174
240,30,560,34
241,215,257,1287
242,444,160,1168
243,1852,387,711
244,752,687,892
245,1932,763,918
246,1441,446,354
247,1071,130,850
248,547,3,648
249,985,309,1464
250,1889,696,1165
251,260,701,1324
252,1241,123,309
253,440,312,1241
254,1801,106,510
255,753,528,1446
256,70,661,1243
257,1171,426,347
258,1497,693,982
259,1743,478,1479
260,1869,614,554
261,1601,304,966
262,733,654,840
263,1503,583,869
264,1888,604,276
265,391,702,622
266,161,77,21
267,1287,94,214
268,831,762,630
269,610,286,350
270,741,505,869
271,1466,535,348
272,1708,287,427
273,1998,372,173
274,669,4,650
275,1250,631,1098
276,684,207,560
277,6,655,62
278,1550,158,710
279,1347,19,1410
280,1243,241,829
281,1748,496,781
282,1485,51,610
283,931,687,979
284,1569,198,1235
285,535,768,123
286,339,6,288
287,1323,797,602
288,1123,20,623
289,578,506,1279
290,370,548,421
291,1940,488,1041
292,257,450,1263
293,1058,454,1001
294,1211,337,471
295,887,125,194
296,210,142,522
297,906,197,125
298,815,21,678
299,872,37,675
300,1911,303,1370
301,1722,325,1085
302,251,492,46
303,1746,525,1426
304,674,311,981
305,1993,81,1152
306,1615,218,65
307,1841,245,288
308,1974,697,1340
309,311,600,243
310,300,423,1348
311,712,258,1369
312,815,20,774
313,1214,342,500
314,307,544,1244
315,186,478,961
316,1819,115,555
317,1180,13,144
318,508,542,1234
319,876,113,2
320,300,450,579
321,721,450,1289
322,45,769,762
323,633,368,316
324,571,30,93
325,87,703,603
326,1740,271,265
327,892,481,1053
328,1907,793,826
329,1463,509,10
330,676,594,932
331,70,437,257
332,1169,301,389
333,1143,767,543
334,408,79,183
335,932,82,1021
336,237,5,740
337,317,769,1183
338,773,65,903
339,529,383,605
340,927,409,1078
341,1464,441,1179
342,746,95,1269
343,1739,63,1449
344,838,375,49
345,525,505,1086
346,768,52,8
347,1508,616,792
348,1256,589,104
349,1311,199,658
350,468,299,503
351,1693,288,92
352,1674,508,828
353,991,78,1070
354,625,17,199
355,1389,137,678
356,1316,795,486
357,1728,136,70
358,312,52,1028
359,1221,385,147
360,1425,655,4
361,69,315,870
362,1866,410,1148
363,354,697,385
364,289,361,677
365,1543,694,263
366,1203,30,734
367,332,229,1094
368,1698,110,1447
369,1509,791,656
370,417,423,739
371,252,219,551
372,1262,626,47
373,1661,112,1393
374,620,578,1203
375,1279,487,1367
376,1878,775,1143
377,1938,700,528
378,678,793,895
379,1641,720,972
380,1448,555,386
381,992,596,410
382,728,305,144
383,134,40,114
384,1486,506,664
385,1074,787,122
386,208,284,111
387,1388,209,282
388,1302,774,158
389,1682,575,624
390,1341,477,867
391,463,583,956
392,503,551,676
393,1025,605,1134
394,262,746,159
395,1698,317,1394
396,669,619,1032
397,1276,439,548
398,112,535,262
399,1992,193,1249
400,1907,257,847
401,1652,743,1427
402,905,78,232
403,564,430,381
404,340,61,749
405,1148,595,723
406,1374,92,608
407,899,230,1197
408,397,26,26
409,956,273,1216
410,1705,10,1400
411,768,281,366
412,352,649,648
413,734,613,1093
414,1887,279,1430
415,1270,607,144
416,1185,598,852
417,330,309,138
418,627,704,1110
419,607,67,1014
420,1344,251,1265
421,1781,284,1033
422,251,149,515
423,1438,100,615
424,905,209,960
425,1898,726,767
426,479,94,1234
427,555,70,29
428,1456,752,131
429,715,696,354
430,305,68,1488
431,947,470,1184
432,1294,776,532
433,1846,384,677
434,617,571,673
435,1786,287,60
436,1660,243,64
437,467,461,398
438,859,537,1250
439,1471,247,1078
440,1587,52,94
441,270,541,260
442,1591,187,96
443,421,323,884
444,1190,790,931
445,807,128,22
446,1909,751,510
447,1945,216,475
448,646,373,1083
449,951,211,97
450,493,341,26
451,181,497,1306
452,603,73,785
453,803,341,161
454,1473,793,805
455,612,90,1141
456,1140,572,139
457,257,399,622
458,1873,668,628
459,1732,105,571
460,1710,515,276
461,1149,110,1358
462,55,377,1422
463,250,291,1423
464,311,152,639
465,116,59,895
466,1268,746,911
467,1486,302,1037
468,1553,44,253
469,993,50,841
470,1966,253,361
471,1194,575,1116
472,415,668,1215
473,670,694,1158
474,452,239,1140
475,496,700,408
476,1806,78,1229
477,325,343,755
478,1516,419,1388
479,541,688,638
480,604,672,398
481,1808,477,150
482,1070,446,1214
483,191,444,527
484,1926,442,958
485,51,14,1398
486,1628,64,786
487,1493,109,621
488,829,337,939
489,1589,612,1014
490,796,445,974
491,114,246,1361
492,421,653,729
493,758,441,1493
494,1481,424,1371
495,1856,267,1495
496,1687,444,1461
497,656,521,1171
498,1101,577,679
499,692,315,287
500,554,80,40
501,1323,478,956
502,1683,219,1331
503,674,168,331
504,1989,781,1069
505,682,228,41
506,992,619,430
507,1260,538,94
508,1517,301,78
509,1390,284,336
510,899,1,493
511,1957,722,687
512,1669,360,1129
513,1721,387,199
514,284,800,586
515,825,192,403
516,578,547,992
517,1848,258,991
518,1353,354,463
519,821,346,1312
520,938,186,74
521,633,788,659
522,1053,94,1088
523,1759,351,880
524,978,36,1170
525,302,48,1127
526,1845,254,1163
527,1547,166,1340
528,1305,373,127
529,1008,334,889
530,1418,191,1489
531,1538,92,103
532,48,254,1308
533,107,686,1363
534,759,612,739
535,1822,165,1466
536,811,385,1341
537,853,592,314
538,392,694,114
539,1539,772,1495
540,540,356,1336
541,263,620,720
542,1457,601,856
543,352,590,1203
544,1465,245,371
545,1876,683,932
546,1715,472,1465
547,1802,573,1163
548,1165,472,1158
549,73,519,923
550,117,790,193
551,1937,717,293
552,1740,302,92
553,1252,71,73
554,896,227,1045
555,403,456,703
556,1171,770,226
557,1211,648,1400
558,438,279,729
559,1333,11,1480
560,906,125,1400
561,1556,26,262
562,1060,548,1199
563,345,436,511
564,1315,800,804
565,1323,798,141
566,378,147,674
567,1144,189,182
